Year of interview 2011
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",673,189,862
,"N","",223706,84412,308118
,"%","",72.6,27.4,100.0
,"CI","","( 68.1 - 77.1)","( 22.9 - 31.9)","n/a"
"Yes","n","",74,29,103
,"N","",19003,10001,29004
,"%","",65.5,34.5,100.0
,"CI","","( 52.2 - 78.8)","( 21.2 - 47.8)","n/a"
"Total","n","",747,218,965
,"N","",242709,94413,337122
,"%","",72.0,28.0,100.0
,"CI","","( 67.8 - 76.2)","( 23.8 - 32.2)","n/a"





Year of interview 2012
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",818,234,1052
,"N","",220676,69106,289782
,"%","",76.2,23.8,100.0
,"CI","","( 72.6 - 79.7)","( 20.3 - 27.4)","n/a"
"Yes","n","",99,53,152
,"N","",27978,15154,43133
,"%","",64.9,35.1,100.0
,"CI","","( 54.7 - 75.0)","( 25.0 - 45.3)","n/a"
"Total","n","",917,287,1204
,"N","",248654,84260,332914
,"%","",74.7,25.3,100.0
,"CI","","( 71.3 - 78.0)","( 22.0 - 28.7)","n/a"





Year of interview 2013
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",748,205,953
,"N","",222175,79106,301281
,"%","",73.7,26.3,100.0
,"CI","","( 69.9 - 77.6)","( 22.4 - 30.1)","n/a"
"Yes","n","",70,26,96
,"N","",23529,9397,32927
,"%","",71.5,28.5,100.0
,"CI","","( 59.7 - 83.3)","( 16.7 - 40.3)","n/a"
"Total","n","",818,231,1049
,"N","",245705,88503,334208
,"%","",73.5,26.5,100.0
,"CI","","( 69.9 - 77.2)","( 22.8 - 30.1)","n/a"





Year of interview 2014
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",855,220,1075
,"N","",220057,76080,296138
,"%","",74.3,25.7,100.0
,"CI","","( 70.7 - 77.9)","( 22.1 - 29.3)","n/a"
"Yes","n","",97,42,139
,"N","",21459,13673,35133
,"%","",61.1,38.9,100.0
,"CI","","( 49.7 - 72.5)","( 27.5 - 50.3)","n/a"
"Total","n","",952,262,1214
,"N","",241517,89754,331270
,"%","",72.9,27.1,100.0
,"CI","","( 69.4 - 76.4)","( 23.6 - 30.6)","n/a"





Year of interview 2015
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",769,164,933
,"N","",227978,70614,298592
,"%","",76.4,23.6,100.0
,"CI","","( 72.1 - 80.6)","( 19.4 - 27.9)","n/a"
"Yes","n","",87,31,118
,"N","",24237,10142,34379
,"%","",70.5,29.5,100.0
,"CI","","( 59.4 - 81.6)","( 18.4 - 40.6)","n/a"
"Total","n","",856,195,1051
,"N","",252216,80756,332971
,"%","",75.7,24.3,100.0
